Country,Date,DailyCases,CumulativeCases
S92000003,20200228,1,1
S92000003,20200229,0,1
S92000003,20200301,2,3
S92000003,20200302,1,4
S92000003,20200303,3,7
S92000003,20200304,6,13
S92000003,20200305,2,15
S92000003,20200306,6,21
S92000003,20200307,6,27
S92000003,20200308,3,30
S92000003,20200309,16,46
S92000003,20200310,21,67
S92000003,20200311,26,93
S92000003,20200312,38,131
S92000003,20200313,48,179
S92000003,20200314,19,198
S92000003,20200315,12,210
S92000003,20200316,21,231
S92000003,20200317,43,274
S92000003,20200318,41,315
S92000003,20200319,49,364
S92000003,20200320,83,447
S92000003,20200321,66,513
S92000003,20200322,75,588
S92000003,20200323,138,726
S92000003,20200324,168,894
S92000003,20200325,188,1082
S92000003,20200326,223,1305
S92000003,20200327,274,1579
S92000003,20200328,205,1784
S92000003,20200329,197,1981
S92000003,20200330,320,2301
S92000003,20200331,340,2641
S92000003,20200401,388,3029
S92000003,20200402,351,3380
S92000003,20200403,379,3759
S92000003,20200404,259,4018
S92000003,20200405,225,4243
S92000003,20200406,404,4647
S92000003,20200407,351,4998
S92000003,20200408,343,5341
S92000003,20200409,304,5645
S92000003,20200410,329,5974
S92000003,20200411,185,6159
S92000003,20200412,220,6379
S92000003,20200413,359,6738
S92000003,20200414,346,7084
S92000003,20200415,331,7415
S92000003,20200416,427,7842
S92000003,20200417,394,8236
S92000003,20200418,264,8500
S92000003,20200419,159,8659
S92000003,20200420,776,9435
S92000003,20200421,399,9834
S92000003,20200422,340,10174
S92000003,20200423,314,10488
S92000003,20200424,305,10793
S92000003,20200425,184,10977
S92000003,20200426,172,11149
S92000003,20200427,430,11579
S92000003,20200428,380,11959
S92000003,20200429,430,12389
S92000003,20200430,335,12724
S92000003,20200501,368,13092
S92000003,20200502,217,13309
S92000003,20200503,189,13498
S92000003,20200504,330,13828
S92000003,20200505,289,14117
S92000003,20200506,306,14423
S92000003,20200507,290,14713
S92000003,20200508,254,14967
S92000003,20200509,177,15144
S92000003,20200510,150,15294
S92000003,20200511,262,15556
S92000003,20200512,230,15786
S92000003,20200513,198,15984
S92000003,20200514,212,16196
S92000003,20200515,152,16348
S92000003,20200516,103,16451
S92000003,20200517,92,16543
S92000003,20200518,140,16683
S92000003,20200519,182,16865
S92000003,20200520,121,16986
S92000003,20200521,111,17097
S92000003,20200522,92,17189
S92000003,20200523,50,17239
S92000003,20200524,54,17293
S92000003,20200525,97,17390
S92000003,20200526,77,17467
S92000003,20200527,66,17533
S92000003,20200528,55,17588
S92000003,20200529,29,17617
S92000003,20200530,40,17657
S92000003,20200531,23,17680
S92000003,20200601,38,17718
S92000003,20200602,45,17763
S92000003,20200603,35,17798
S92000003,20200604,35,17833
S92000003,20200605,24,17857
S92000003,20200606,22,17879
S92000003,20200607,17,17896
S92000003,20200608,18,17914
S92000003,20200609,27,17941
S92000003,20200610,29,17970
S92000003,20200611,21,17991
S92000003,20200612,30,18021
S92000003,20200613,23,18044
S92000003,20200614,13,18057
S92000003,20200615,21,18078
S92000003,20200616,17,18095
S92000003,20200617,33,18128
S92000003,20200618,14,18142
S92000003,20200619,23,18165
S92000003,20200620,6,18171
S92000003,20200621,9,18180
S92000003,20200622,11,18191
S92000003,20200623,20,18211
S92000003,20200624,8,18219
S92000003,20200625,19,18238
S92000003,20200626,6,18244
S92000003,20200627,4,18248
S92000003,20200628,3,18251
S92000003,20200629,14,18265
S92000003,20200630,8,18273
S92000003,20200701,11,18284
S92000003,20200702,13,18297
S92000003,20200703,6,18303
S92000003,20200704,5,18308
S92000003,20200705,2,18310
S92000003,20200706,8,18318
S92000003,20200707,11,18329
S92000003,20200708,10,18339
S92000003,20200709,8,18347
S92000003,20200710,12,18359
S92000003,20200711,9,18368
S92000003,20200712,2,18370
S92000003,20200713,17,18387
S92000003,20200714,10,18397
S92000003,20200715,16,18413
S92000003,20200716,21,18434
S92000003,20200717,8,18442
S92000003,20200718,13,18455
S92000003,20200719,17,18472
S92000003,20200720,13,18485
S92000003,20200721,19,18504
S92000003,20200722,16,18520
S92000003,20200723,23,18543
S92000003,20200724,11,18554
S92000003,20200725,3,18557
S92000003,20200726,7,18564
S92000003,20200727,13,18577
S92000003,20200728,22,18599
S92000003,20200729,28,18627
S92000003,20200730,27,18654
S92000003,20200731,21,18675
S92000003,20200801,23,18698
S92000003,20200802,19,18717
S92000003,20200803,62,18779
S92000003,20200804,58,18837
S92000003,20200805,67,18904
S92000003,20200806,65,18969
